Commit_Number,Unique_CWE_Count,Unique_CWEs
69,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
70,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
71,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
72,8,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
73,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
74,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
75,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
76,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
77,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
78,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
79,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
80,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
81,6,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
82,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
83,4,https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
84,3,https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/703.html
85,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
86,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
87,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
88,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
89,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
90,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
91,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
92,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
93,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
94,8,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
95,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
96,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
97,8,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/400.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html
98,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
99,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
100,10,https://cwe.mitre.org/data/definitions/22.html; https://cwe.mitre.org/data/definitions/78.html; https://cwe.mitre.org/data/definitions/703.html; https://cwe.mitre.org/data/definitions/89.html; https://cwe.mitre.org/data/definitions/502.html; https://cwe.mitre.org/data/definitions/605.html; https://cwe.mitre.org/data/definitions/377.html; https://cwe.mitre.org/data/definitions/330.html; https://cwe.mitre.org/data/definitions/259.html; https://cwe.mitre.org/data/definitions/327.html
